,UF,codMun,AreaPrestacao
185,MG,3117900,Setor 2
186,MG,3118007,Setor 2
187,MG,3118106,Setor 2
188,MG,3118205,Setor 2
189,MG,3118304,Setor 2
190,MG,3118403,Setor 2
191,MG,3118502,Setor 2
192,MG,3118601,Setor 2
193,MG,3118700,Setor 2
194,MG,3118809,Setor 2
195,MG,3118908,Setor 2
196,MG,3119005,Setor 2
197,MG,3119104,Setor 2
198,MG,3119203,Setor 2
199,MG,3119302,Setor 2
200,MG,3119401,Setor 2
201,MG,3119500,Setor 2
202,MG,3119609,Setor 2
203,MG,3119708,Setor 2
204,MG,3119906,Setor 2
205,MG,3119955,Setor 2
206,MG,3120003,Setor 2
207,MG,3120102,Setor 2
208,MG,3120151,Setor 2
209,MG,3120201,Setor 2
210,MG,3120300,Setor 2
211,MG,3120409,Setor 2
212,MG,3120508,Setor 2
213,MG,3120607,Setor 2
214,MG,3120805,Setor 2
215,MG,3120839,Setor 2
216,MG,3120870,Setor 2
217,MG,3120904,Setor 2
218,MG,3121001,Setor 2
219,MG,3121100,Setor 2
220,MG,3121209,Setor 2
221,MG,3121308,Setor 2
222,MG,3121407,Setor 2
223,MG,3121506,Setor 2
224,MG,3121605,Setor 2
225,MG,3121704,Setor 2
226,MG,3121803,Setor 2
227,MG,3121902,Setor 2
228,MG,3122009,Setor 2
229,MG,3122108,Setor 2
230,MG,3122207,Setor 2
231,MG,3122306,Setor 2
232,MG,3122355,Setor 2
233,MG,3122405,Setor 2
234,MG,3122454,Setor 2
235,MG,3122470,Setor 2
236,MG,3122504,Setor 2
237,MG,3122603,Setor 2
238,MG,3122702,Setor 2
239,MG,3122801,Setor 2
240,MG,3122900,Setor 2
241,MG,3123007,Setor 2
242,MG,3123106,Setor 2
243,MG,3123205,Setor 2
244,MG,3123304,Setor 2
245,MG,3123403,Setor 2
246,MG,3123502,Setor 2
247,MG,3123528,Setor 2
248,MG,3123601,Setor 2
249,MG,3123700,Setor 2
250,MG,3123809,Setor 2
251,MG,3123858,Setor 2
252,MG,3123908,Setor 2
253,MG,3124005,Setor 2
254,MG,3124104,Setor 2
255,MG,3124203,Setor 2
256,MG,3124302,Setor 2
257,MG,3124401,Setor 2
258,MG,3124500,Setor 2
259,MG,3124609,Setor 2
260,MG,3124708,Setor 2
261,MG,3124807,Setor 2
262,MG,3124906,Setor 2
263,MG,3125002,Setor 2
264,MG,3125101,Setor 2
265,MG,3125200,Setor 2
266,MG,3125309,Setor 2
267,MG,3125408,Setor 2
268,MG,3125507,Setor 2
269,MG,3125606,Setor 2
270,MG,3125705,Setor 2
271,MG,3125804,Setor 2
272,MG,3125903,Setor 2
273,MG,3125952,Setor 2
274,MG,3126000,Setor 2
275,MG,3126109,Setor 2
276,MG,3126208,Setor 2
277,MG,3126307,Setor 2
278,MG,3126406,Setor 2
279,MG,3126505,Setor 2
280,MG,3126604,Setor 2
281,MG,3126703,Setor 2
282,MG,3126752,Setor 2
283,MG,3126802,Setor 2
284,MG,3126901,Setor 2
285,MG,3126950,Setor 2
286,MG,3127008,Setor 2
287,MG,3127057,Setor 2
288,MG,3127073,Setor 2
289,MG,3127206,Setor 2
290,MG,3127305,Setor 2
291,MG,3127339,Setor 2
292,MG,3127354,Setor 2
293,MG,3127370,Setor 2
294,MG,3127388,Setor 2
295,MG,3127404,Setor 2
296,MG,3127503,Setor 2
297,MG,3127602,Setor 2
298,MG,3127701,Setor 2
299,MG,3127800,Setor 2
300,MG,3127909,Setor 2
301,MG,3128006,Setor 2
302,MG,3128105,Setor 2
303,MG,3128204,Setor 2
304,MG,3128253,Setor 2
305,MG,3128303,Setor 2
306,MG,3128402,Setor 2
307,MG,3128501,Setor 2
308,MG,3128600,Setor 2
309,MG,3128709,Setor 2
310,MG,3128808,Setor 2
311,MG,3128907,Setor 2
312,MG,3129004,Setor 2
313,MG,3129202,Setor 2
314,MG,3129301,Setor 2
315,MG,3129400,Setor 2
316,MG,3129509,Setor 2
317,MG,3129608,Setor 2
318,MG,3129657,Setor 2
319,MG,3129806,Setor 2
320,MG,3129905,Setor 2
321,MG,3130002,Setor 2
322,MG,3130051,Setor 2
323,MG,3130101,Setor 2
324,MG,3130408,Setor 2
325,MG,3130507,Setor 2
326,MG,3130556,Setor 2
327,MG,3130606,Setor 2
328,MG,3130655,Setor 2
329,MG,3130804,Setor 2
330,MG,3130903,Setor 2
331,MG,3131000,Setor 2
332,MG,3131109,Setor 2
333,MG,3131158,Setor 2
334,MG,3131208,Setor 2
335,MG,3131307,Setor 2
336,MG,3131505,Setor 2
337,MG,3131604,Setor 2
338,MG,3131703,Setor 2
339,MG,3131802,Setor 2
340,MG,3131901,Setor 2
341,MG,3132008,Setor 2
342,MG,3132107,Setor 2
343,MG,3132206,Setor 2
344,MG,3132305,Setor 2
345,MG,3132404,Setor 2
346,MG,3132503,Setor 2
347,MG,3132602,Setor 2
348,MG,3132701,Setor 2
349,MG,3132800,Setor 2
350,MG,3132909,Setor 2
351,MG,3133006,Setor 2
352,MG,3133105,Setor 2
353,MG,3133204,Setor 2
354,MG,3133303,Setor 2
355,MG,3133501,Setor 2
356,MG,3133600,Setor 2
